#,Level,Category Name,Slug,Language,Parent Category,Full Path,Total Posts,Published,Drafts,Private,Posts Last 24 Months,First Post Date,Last Post Date,Slug Match Method
216,1,Media coverage of our activity,activity-coverage-de,German,,Media coverage of our activity,31,31,0,0,3,2019-04-28,2025-08-04,heuristic
217,1,Music updates,updates-music-de,German,,Music updates,3,3,0,0,0,2021-02-26,2021-05-14,heuristic
218,1,Neue Seidenstrasse,neue-seidenstrasse,English (default),,Neue Seidenstrasse,133,131,2,0,0,2014-04-02,2022-08-18,exact
219,1,New financial order updates,updates-finance-de,German,,New financial order updates,24,24,0,0,0,2019-08-21,2022-08-18,heuristic
220,1,New York City SI activity,location-nyc-de,German,,New York City SI activity,4,4,0,0,0,2019-02-19,2022-11-13,heuristic
221,1,Nigeria,nigeria,English (default),,Nigeria,1,1,0,0,0,2021-11-10,2021-11-10,heuristic
222,1,Norway,norway,English (default),,Norway,1,1,0,0,0,2021-04-30,2021-04-30,heuristic
223,1,old coverage,old-coverage,English (default),,old coverage,6,6,0,0,0,2018-01-27,2021-09-22,exact
224,1,Our conferences,activity-conference-de,German,,Our conferences,18,18,0,0,0,2019-02-19,2023-08-14,heuristic
225,1,"Our initiatives (petitions, etc)",activity-initiatives-de,German,,"Our initiatives (petitions, etc)",39,39,0,0,1,2019-04-01,2024-08-06,heuristic
226,1,Pakistan,pakistan,English (default),,Pakistan,2,2,0,0,0,2021-04-30,2021-12-17,heuristic
227,1,Railway developments,railway-developments,English (default),,Railway developments,1,1,0,0,0,2022-02-03,2022-02-03,exact
228,1,Sare for Senate news,sare-for-senate-news,English (default),,Sare for Senate news,1,1,0,0,0,2022-08-04,2022-08-04,exact
229,1,Scientific research studies,studies-science,English (default),,Scientific research studies,12,12,0,0,0,2020-04-11,2021-07-06,heuristic
230,1,Space updates,updates-space-de,German,,Space updates,18,18,0,0,0,2019-07-13,2021-07-06,heuristic
231,1,Stop the Sanctions,stop-the-sanctions,English (default),,Stop the Sanctions,9,9,0,0,0,2021-04-10,2021-12-15,exact
232,1,Stop World War,stop-world-war-ru,Russian,,Stop World War,3,3,0,0,0,2016-11-04,2018-05-06,exact
233,1,Studies & contributions,studies,English (default),,Studies & contributions,4,4,0,0,0,2021-02-15,2022-04-06,exact
234,2,Economic development studies,studies-economic-de,German,Studies & contributions,Studies & contributions > Economic development studies,6,5,1,0,0,2020-04-11,2021-08-02,exact
235,2,Scientific research studies,studies-science-de,German,Studies & contributions,Studies & contributions > Scientific research studies,12,11,1,0,0,2020-04-11,2022-11-13,exact
236,1,Sweden,sweden,English (default),,Sweden,1,1,0,0,0,2021-04-30,2021-04-30,exact
237,1,Syria,syria,English (default),,Syria,1,1,0,0,0,2021-05-11,2021-05-11,heuristic
238,1,Syria,syria-allgemein-de,German,,Syria,1,1,0,0,0,2023-03-01,2023-03-01,heuristic
239,1,The Committee for the Coincidence of Opposites,committee-for-the-coincidence-of-opposites,English (default),,The Committee for the Coincidence of Opposites,41,41,0,0,0,2020-10-14,2022-01-19,heuristic
240,1,The Committee for the Coincidence of Opposites,committee-for-the-coincidence-of-opposites-de,German,,The Committee for the Coincidence of Opposites,19,19,0,0,0,2020-12-25,2022-01-20,heuristic
241,2,Healthcare,healthcare-de,German,The Committee for the Coincidence of Opposites,The Committee for the Coincidence of Opposites > Healthcare,60,60,0,0,0,2021-04-12,2022-03-25,exact
242,3,COVID-19,covid-19,English (default),Healthcare,The Committee for the Coincidence of Opposites > Healthcare > COVID-19,85,85,0,0,0,2021-02-28,2022-11-29,exact
243,1,The World Land-Bridge,,unknown,,The World Land-Bridge,0,0,0,0,0,,,no-posts-in-export
244,1,Uncategorized @da,,Danish,,Uncategorized @da,0,0,0,0,0,,,no-posts-in-export
245,1,United States SI activity,location-usa-de,German,,United States SI activity,5,5,0,0,0,2019-02-19,2022-11-13,heuristic
246,1,Unsere Kampagne,unsere-kampagne,English (default),,Unsere Kampagne,7,7,0,0,0,2014-04-02,2018-11-13,exact
247,2,“Grün” bedeutet Tod,grun-bedeutet-tod,English (default),Unsere Kampagne,Unsere Kampagne > “Grün” bedeutet Tod,61,61,0,0,0,2015-11-03,2022-03-25,exact
248,2,BRICS,brics-de-4,German,Unsere Kampagne,Unsere Kampagne > BRICS,25,25,0,0,0,2018-07-31,2022-11-13,heuristic
249,2,Die Weltlandbrücke bauen,die-weltlandbrucke-bauen,English (default),Unsere Kampagne,Unsere Kampagne > Die Weltlandbrücke bauen,80,80,0,0,0,2014-04-02,2023-01-01,exact
250,2,Eine neue Renaissance,eine-neue-renaissance,English (default),Unsere Kampagne,Unsere Kampagne > Eine neue Renaissance,34,33,1,0,0,2013-03-12,2023-08-14,exact
251,2,Stoppt die Sanktionen,stoppt-die-sanktionen,English (default),Unsere Kampagne,Unsere Kampagne > Stoppt die Sanktionen,26,26,0,0,0,2021-04-12,2023-03-01,exact
252,2,Weltkrieg stoppen,weltkrieg-stoppen,English (default),Unsere Kampagne,Unsere Kampagne > Weltkrieg stoppen,124,122,2,0,2,2013-09-26,2024-09-07,exact
253,1,Webcast,webcast-de,German,,Webcast,291,289,2,0,87,2017-10-17,2026-06-16,exact
254,1,Webcast mit Helga Zepp-LaRouche,webcast-mit-helga-zepp-larouche,English (default),,Webcast mit Helga Zepp-LaRouche,343,341,2,0,86,2017-11-14,2026-06-16,exact
255,1,WFP,wfp,English (default),,WFP,3,3,0,0,0,2021-12-15,2022-03-29,exact
256,1,World Land-Bridge updates,updates-wlb-de,German,,World Land-Bridge updates,16,15,1,0,0,2019-03-24,2022-04-03,heuristic
257,1,Youth Movement,youth-movement-de,German,,Youth Movement,4,4,0,0,1,2021-02-13,2025-11-11,heuristic
